step,t(s),meas_pos(m),meas_vel(m/s),est_pos(m),est_vel(m/s),u(m/s^2)
0,0,5.0039,1.01369,5.0039,1.01369,-0.551074
1,0.01,4.96563,0.972985,4.96575,0.972999,-0.545225
2,0.02,5.03155,0.989709,5.00352,0.978704,-0.549288
3,0.03,5.07699,0.973011,5.0345,0.973177,-0.552109
4,0.04,5.07269,1.02052,5.05152,0.981343,-0.554219
5,0.05,5.06935,0.979915,5.06293,0.976677,-0.555127
6,0.06,5.12006,0.964373,5.08054,0.969932,-0.55655
7,0.07,5.11782,0.954628,5.09411,0.962821,-0.557552
8,0.08,5.05388,0.937072,5.09739,0.954268,-0.557453
9,0.09,5.16319,0.896767,5.11292,0.941735,-0.558379
10,0.1,5.0686,0.904324,5.11679,0.932085,-0.558283
11,0.11,5.09058,0.940055,5.12292,0.928102,-0.558697
12,0.12,5.08129,0.929767,5.12797,0.92331,-0.558962
13,0.13,5.13467,0.914282,5.13696,0.917336,-0.559563
14,0.14,5.14089,0.929813,5.14583,0.913689,-0.560267
15,0.15,5.19669,0.901687,5.15769,0.907446,-0.561141
16,0.16,5.23303,0.904356,5.17089,0.902152,-0.562197
17,0.17,5.21229,0.918891,5.18192,0.89884,-0.563134
18,0.18,5.2416,0.894106,5.1937,0.893344,-0.564037
19,0.19,5.19232,0.917185,5.20223,0.890633,-0.564755
20,0.2,5.13319,0.879101,5.20717,0.884333,-0.564934
21,0.21,5.20121,0.884316,5.21532,0.879223,-0.565493
22,0.22,5.30023,0.869103,5.22752,0.873204,-0.566412
23,0.23,5.22479,0.865246,5.23571,0.867306,-0.566937
24,0.24,5.20365,0.84612,5.24256,0.860096,-0.567261
25,0.25,5.16281,0.876152,5.24773,0.856433,-0.567594
26,0.26,5.30643,0.835099,5.2581,0.8493,-0.568275
27,0.27,5.19344,0.880242,5.26408,0.84706,-0.568761
28,0.28,5.27611,0.871527,5.27284,0.844266,-0.569498
29,0.29,5.26848,0.797595,5.28055,0.834636,-0.569787
30,0.3,5.31332,0.842082,5.28977,0.83022,-0.570488
31,0.31,5.29251,0.802115,5.29772,0.82237,-0.57089
